#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
74,"Set Fire to the Rain X BADDIES ONLY","BADDIES ONLY",72,127,"","","Set Fire to the Rain X BADDIES ONLY",2023-05-11,01:48,72,78,3,0,68,0,0,-5,C♯/D♭ Major,4,2023-12-07,5Doq3kvpE4Lh2tiXp51oa1,"Club Bad",3B,https://p.scdn.co/mp3-preview/c38f04886e35a5cdd61596e433fb004481e05cd2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517b829a08d49ca6086281cd0d
75,"Durmaz Akar","Yüzyüzeyken Konuşuruz",60,80,"turkish alternative rock, turkish rock","Rock","KADER SK.",2023-07-07,03:31,56,46,25,0,72,0,10,-10,E Minor,4,2023-12-07,2c4fFnivb2Pu2YfCPvTGna,"SONY MUSIC TURKEY",9A,https://p.scdn.co/mp3-preview/614cbef6a8e3c2ccd66c4cc300209d2f5e23aa49?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f3dbcc972843d2b3c2b73617
76,"KONTAK (feat. Ezhel)","Summer Cem,Geenaro & Ghana Beats,Ezhel",70,100,"german hip hop, turkish hip hop, turkish trap","Hip Hop","KONTAK (feat. Ezhel)",2023-06-02,02:38,88,54,27,0,83,0,0,-11,F#/G♭ Minor,4,2023-12-07,0nHmrbUG2lvhiJ7dL4FfzU,"Banger Musik/WM Germany",11A,https://p.scdn.co/mp3-preview/f15da28272ea8e9dbdf7f55f0812d6120490bda4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518e5ec11e67c4e9fb9ed114dd
77,"Moth To A Flame (with The Weeknd)","Swedish House Mafia,The Weeknd",83,120,"edm, pop dance, progressive electro house, canadian contemporary r&b, canadian pop, pop","R&B, Pop, Electronic","Paradise Again",2022-04-15,03:54,55,66,0,0,11,0,10,-7,G#/A♭ Major,4,2023-12-07,0VO8gYVDSwM1Qdd2GsMoYK,"Republic Records",4B,,https://i.scdn.co/image/ab67616d00004851bd6f8ac82dc5fe1028c14f7d
78,"Garezi Var","Kahraman Deniz",67,120,"turkish pop, turkish rock","Pop, Rock","23",2016-10-14,04:17,66,46,81,0,24,0,0,-10,A#/B♭ Minor,4,2023-12-07,7fff6o1t622eIKOAOcQA8T,"Kınay Production",3A,https://p.scdn.co/mp3-preview/9f0107fcf21fd13284ab614c2f467674f3e0e94f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b73cdfdbf83179759b136606
79,"Bodrum - Ufuk Kevser Remix","Yüzyüzeyken Konuşuruz,Ufuk Kevser",37,94,"turkish alternative rock, turkish rock, ","Rock","Bodrum (Ufuk Kevser Remix)",2018-04-20,04:14,71,74,41,0,48,0,10,-6,C Major,4,2023-12-07,7lj4g42o0GbvRp5EXnOLlt,"SONY MUSIC TURKEY",8B,https://p.scdn.co/mp3-preview/1bf2ea1d1835305ae2da2c8cbdd09ef2df3f4ed2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517b33edfe29faf7d470bd50d9
80,"Bussdown (feat. Shaybo)","Jorja Smith,Shaybo",43,149,"r&b, uk contemporary r&b, london rap","Hip Hop, R&B","Bussdown (feat. Shaybo)",2021-05-13,03:21,66,62,37,0,81,30,0,-8,E Minor,4,2023-12-07,0rwu59ZXLu6F9DECJNWt25,"FAMM",9A,https://p.scdn.co/mp3-preview/b2eae75c659aee4dfa00f102cf8442652d9b9fbe?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851461e108d3379585db3d17008
81,"Oud Love","Camil Kanouni",36,115,"arab electronic","Electronic","O.M.M.A",2020-07-17,03:41,75,48,49,0,55,0,20,-12,B Minor,4,2023-12-07,6yo4vfCNw1VD1JKCbJhPEO,"PalmTherapySounds",10A,https://p.scdn.co/mp3-preview/85611266118d583b2384acb701bca88cf9ff443d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485149401ab66b2f6aa14ed1f8bc
82,"Raf","Deeperise,Jabbar",63,97,"turkish deep house, turkish pop","Electronic, Pop","Raf",2017-05-05,04:07,79,44,20,0,14,0,10,-11,E Minor,4,2023-12-07,1jStctxoCQu67sVWxzatLC,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",9A,,https://i.scdn.co/image/ab67616d00004851caae7b6a16b0c8c1aed145e5
83,"Dünya Fani","cakal,Arem Ozguc,Arman Aydin",59,122,"turkce drill, turkish edm","Electronic","Dünya Fani",2022-06-17,01:56,76,89,1,0,68,0,10,-5,F#/G♭ Major,4,2023-12-07,0zryFWOTwY1BDcED6t27Sl,"DOĞAN MÜZİK YAPIM",2B,https://p.scdn.co/mp3-preview/fa2bd52fe45dba816e217d4456296440a9d1949a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ab950ab0d7adf78bae0969c6
84,"Patlat","BLOK3",72,144,"turkce drill","","Patlat",2022-10-14,02:09,57,61,13,0,30,0,20,-11,G#/A♭ Major,4,2023-12-07,5qLnFAfF07nwUiARNSWZBJ,"Mundo Music",4B,https://p.scdn.co/mp3-preview/f435f18634ffa698825c405a60404edbdc68ce38?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851df03caf247d27fb9e171097c
85,"Yeraltı Edebiyatı","Gazapizm",57,93,"turkish hip hop","Hip Hop","Yeraltı Edebiyatı",2014-10-13,03:16,59,73,60,0,33,10,10,-6,D Minor,4,2023-12-07,40fqDPv4drwaKnX047hxY6,"Argo Yapım",7A,https://p.scdn.co/mp3-preview/c2152e4a29c6965d8938fa5fee3c464e7d67a562?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485139367660107b68d2a587efc7
86,"Keep On Rising (feat. Michelle Shellers) - Radio Mix","Ian Carey,Michelle Shellers",21,128,"","","Keep On Rising (feat. Michelle Shellers)",2007-00-00,03:09,59,86,4,0,72,0,30,-7,D#/E♭ Minor,4,2023-12-07,07tzapM5YrSilqTieLPJbI,"Ultra Records, LLC",2A,https://p.scdn.co/mp3-preview/cf45919ba825a08e29f14082749e895006641779?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485171b917375c947460730eb3d3
